"552958148446023680","charlie hebdo","OrsettoRetwitta","RT @vicenews: The anti-religion and anti-establishment history of #CharlieHebdo: http://t.co/AtYoUONHhS http://t.co/ccHzVrGF7Q","104","Wed Jan 07 22:41:10 +0000 2015"
"552958148114653185","charlie hebdo","tut2009","Quartet of murdered French cartoonists among countryâs finest satirists: Ten members of the Charlie Hebdo ed... http://t.co/7oZ49PTDmE","0","Wed Jan 07 22:41:10 +0000 2015"
"552958147846234112","charlie hebdo","yduvivier","RT @Independent: The Independent's cartoonist @DaveBrownToons on the  #CharlieHebdo attack. #JeSuisCharlie
http://t.co/ObRuaH7Apg http://t.co/a7dbe6nQS9","4154","Wed Jan 07 22:41:10 +0000 2015"
"552958147791699968","charlie hebdo","ThatEvaOne","RT @thei100: French Muslims condemn the Charlie Hebdo shooting http://t.co/W89nBMbNGK http://t.co/HgdqSrlgsQ","275","Wed Jan 07 22:41:10 +0000 2015"
"552958147577802752","charlie hebdo","jeff_foreman","RT @guardian: Steve Bell on the Charlie Hebdo attack in Paris – cartoon http://t.co/OOeHzfmkm4 http://t.co/oqIX7N88OF","615","Wed Jan 07 22:41:10 +0000 2015"
"552958147237662720","charlie hebdo","MatthewBevan","RT @702sydney: Cartoonist @cathywilcox1 reacts to the #CharlieHebdo attack - https://t.co/jQNOxS7SYx","2","Wed Jan 07 22:41:10 +0000 2015"
"552958146021711872","charlie hebdo","saveHOVE","RT @mashable: Suspects in deadly Paris attack were on police radar for years http://t.co/YNh4E3rdNw #CharlieHebdo http://t.co/iVkJvOsMyD","377","Wed Jan 07 22:41:10 +0000 2015"
"552958145924833280","charlie hebdo","steiny71","RT @9NewsAUS: The world's cartoonists pay tribute to victims of #CharlieHebdo shooting: http://t.co/p3VM7SbawY #9News http://t.co/gl1Po5oNt5","537","Wed Jan 07 22:41:10 +0000 2015"
"552958144700510208","charlie hebdo","creman4u","Ask who gainss on spreading racism and hate? Never trust official version especially not if freedom of speech and... http://t.co/vE7HyGeUKd","0","Wed Jan 07 22:41:09 +0000 2015"
"552958144687927296","charlie hebdo","Danny_B_____","RT @WSJ: Cartoonists around the world respond to attack in Paris: http://t.co/i17pd0fKNu #CharlieHebdo http://t.co/kFzfOW89o9","1541","Wed Jan 07 22:41:09 +0000 2015"
"552958144591048704","charlie hebdo","myofoz","RT @smh: .@davpope on his cartoon on the #CharlieHebdo attack. #JeSuisCharlie http://t.co/mT9yCoVk7R http://t.co/GC46J1i9UD","19","Wed Jan 07 22:41:09 +0000 2015"
"552958144234938369","charlie hebdo","AltieriMarc","RT @timepictures: Parisians hold vigil for dead in Charlie Hebdo attack: http://t.co/knv2XsvD75 (Photo by Thibault Camus @AP_Images) http://t.co/TzKSM41HpT","335","Wed Jan 07 22:41:09 +0000 2015"
"552958143035351043","charlie hebdo","joshua_wold","RT @DavidJo52951945: Thousands protest against muslim terrorism across Germany, the UK &amp; France #iwontridewithyou http://t.co/ZjumiULXF5 http://t.co/zSmTv73HKM","370","Wed Jan 07 22:41:09 +0000 2015"
"552958141650829312","charlie hebdo","eSmokeGang","New post: Charlie Hebdo Paris Massacre: Footage Shows Masked Gunmen Execute A Wounded Police Officer On The Streets http://t.co/Hs1oi90fuc","0","Wed Jan 07 22:41:09 +0000 2015"
"552958141432737792","charlie hebdo","pandey_kundan","RT @HuffPostUK: BREAKING: #CharlieHebdo attackers identified by French Police - http://t.co/FD7WTi6zwP http://t.co/g08fmoeqrw","28","Wed Jan 07 22:41:09 +0000 2015"
"552958140950777859","charlie hebdo","eamande","RT @WSJ: Breaking: French police have identified 3 suspects in Charlie Hebdo attack  http://t.co/FYkXChPD4d","71","Wed Jan 07 22:41:08 +0000 2015"
"552958140845936640","charlie hebdo","Anguscurran","More articles like this one from @NickCohen4 please? http://t.co/PXHTGA8JXe","0","Wed Jan 07 22:41:08 +0000 2015"
"552958140753645568","charlie hebdo","tantasabi","What Muslim Scholars Say About Paris Attack http://t.co/9BuaVp8SXA","0","Wed Jan 07 22:41:08 +0000 2015"
"552958139797372931","charlie hebdo","newsbytheface","RT @Variety: Hollywood on #CharlieHebdo shooting: ""Free speech must be defended"" http://t.co/J69G56xm3S http://t.co/fgEpX3BIqM","178","Wed Jan 07 22:41:08 +0000 2015"
"552958139478204416","charlie hebdo","ynkutner","RT @guardian: See Steve Bell's cartoon on the #CharlieHebdo attack http://t.co/wLM2qhVj44","195","Wed Jan 07 22:41:08 +0000 2015"
"552958139331399680","charlie hebdo","vasilishilakis","Who are Charlie Hebdo gunmen? They claimed to be 'Al Qaeda in Yemen' http://t.co/vnjNyFdzMP via @MailOnline","0","Wed Jan 07 22:41:08 +0000 2015"
"552958139323404289","charlie hebdo","Ab3Z","RT @sullduggery: The @guardian's cartoon on #CharlieHebdo attack, by Steve Bell: http://t.co/m2tl3QVEtM http://t.co/Rr51Byugfn","239","Wed Jan 07 22:41:08 +0000 2015"
"552958139285663744","charlie hebdo","arshadfilms","""This a terrible tragedy but it's worth saying that the roots of this lie not in Islam but in the highest... http://t.co/6kVM92bE1y","0","Wed Jan 07 22:41:08 +0000 2015"
